172.18.0.1 - - [02/Oct/2025:08:28:26 +0000] "GET /src/features/analytics/analytics HTTP/1.1" 200 61057 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.0.0 Safari/537.36" "-"
172.18.0.1 - - [02/Oct/2025:08:28:26 +0000] "GET /src/shared/lib/performance HTTP/1.1" 200 61057 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.0.0 Safari/537.36" "-"
172.18.0.1 - - [02/Oct/2025:08:28:26 +0000] "GET /manifest.json HTTP/1.1" 200 465 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.0.0 Safari/537.36" "-"
172.18.0.1 - - [02/Oct/2025:08:28:26 +0000] "GET /privacy HTTP/1.1" 301 169 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.0.0 Safari/537.36" "-"
172.18.0.1 - - [02/Oct/2025:08:28:37 +0000] "GET / HTTP/1.1" 200 61057 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.0.0 Safari/537.36" "-"
172.18.0.1 - - [02/Oct/2025:08:28:37 +0000] "GET / HTTP/1.1" 200 61057 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.0.0 Safari/537.36" "-"
172.18.0.1 - - [02/Oct/2025:08:28:37 +0000] "GET /src/features/analytics/analytics HTTP/1.1" 200 61057 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.0.0 Safari/537.36" "-"
172.18.0.1 - - [02/Oct/2025:08:28:37 +0000] "GET /src/shared/lib/performance HTTP/1.1" 200 61057 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.0.0 Safari/537.36" "-"
172.18.0.1 - - [02/Oct/2025:08:33:59 +0000] "GET / HTTP/1.1" 200 61057 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 YaBrowser/25.8.0.0 Safari/537.36" "-"
172.18.0.1 - - [02/Oct/2025:08:33:59 +0000] "GET /manifest.json HTTP/1.1" 200 465 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 YaBrowser/25.8.0.0 Safari/537.36" "-"
172.18.0.1 - - [02/Oct/2025:08:33:59 +0000] "GET /images/team/mashulia.webp HTTP/1.1" 200 112770 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 YaBrowser/25.8.0.0 Safari/537.36" "-"
172.18.0.1 - - [02/Oct/2025:08:33:59 +0000] "GET / HTTP/1.1" 200 61057 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 YaBrowser/25.8.0.0 Safari/537.36" "-"
172.18.0.1 - - [02/Oct/2025:08:33:59 +0000] "GET /src/features/analytics/analytics HTTP/1.1" 200 61057 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 YaBrowser/25.8.0.0 Safari/537.36" "-"
172.18.0.1 - - [02/Oct/2025:08:33:59 +0000] "GET /src/shared/lib/performance HTTP/1.1" 200 61057 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 YaBrowser/25.8.0.0 Safari/537.36" "-"
